"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","income_cat"
"11327",-117.96,33.75,14,2509,611,1814,547,2.7986,176100,"<1H OCEAN",2
"11343",-117.93,33.76,17,3341,803,3381,825,3.371,161800,"<1H OCEAN",3
"11344",-117.93,33.76,21,2884,662,2613,645,4.05,177900,"<1H OCEAN",3
"11345",-117.92,33.75,8,2325,598,1511,565,3.3629,137500,"<1H OCEAN",3
"11349",-117.91,33.77,26,5556,1398,4545,1333,3.0902,190400,"<1H OCEAN",3
"11356",-117.93,33.74,15,1206,282,677,270,3.9219,142600,"<1H OCEAN",3
"11360",-117.92,33.74,18,1639,491,2513,458,2.1838,159700,"<1H OCEAN",2
"11373",-117.96,33.68,26,1374,234,731,244,6.0905,224800,"<1H OCEAN",5
"11374",-117.97,33.68,23,1722,316,865,309,4.6452,273800,"<1H OCEAN",4
"11375",-117.96,33.68,25,2004,349,1085,343,4.7656,230700,"<1H OCEAN",4
"11378",-117.97,33.68,26,3653,568,1930,585,5.7301,260900,"<1H OCEAN",4
"11385",-117.95,33.66,26,1787,227,639,224,6.8226,329800,"<1H OCEAN",5
"11390",-117.98,33.64,20,1851,495,792,363,3.8187,137500,"NEAR OCEAN",3
"11395",-117.96,33.74,19,1783,415,1025,383,4.1484,230000,"<1H OCEAN",3
"11405",-117.92,33.72,17,3318,502,1520,498,5.5501,274200,"<1H OCEAN",4
"11407",-117.95,33.71,16,6058,1715,3285,1495,3.4133,290900,"<1H OCEAN",3
"11409",-117.95,33.71,20,2781,407,1242,408,6.1092,306500,"<1H OCEAN",5
"11410",-117.94,33.71,18,3695,602,1779,572,5.9449,276500,"<1H OCEAN",4
"11417",-117.98,33.7,16,5127,631,2142,596,7.8195,390500,"<1H OCEAN",5
"11423",-117.98,33.71,24,3430,548,1601,512,5.6825,264600,"<1H OCEAN",4
"11424",-117.97,33.71,26,2553,405,1337,411,5.3737,252900,"<1H OCEAN",4
"11429",-117.98,33.69,16,2437,438,986,422,5.7117,247200,"<1H OCEAN",4
"11434",-117.96,33.65,23,5379,684,1826,555,7.0151,350600,"<1H OCEAN",5
"11437",-117.96,33.65,24,4462,689,1943,712,5.7395,289800,"<1H OCEAN",4
"11446",-117.98,33.66,26,3527,547,1615,542,6.1624,279400,"<1H OCEAN",5
"11450",-117.98,33.68,24,4177,NA,1704,606,6.2473,281900,"<1H OCEAN",5
"11461",-117.99,33.67,15,3141,664,1729,633,4.2165,234600,"<1H OCEAN",3
"11462",-117.99,33.68,14,3305,841,2272,769,3.4899,216700,"<1H OCEAN",3
"11468",-117.99,33.66,14,3155,653,951,575,3.0625,268800,"<1H OCEAN",3
"11469",-118.02,33.62,11,3969,834,1508,754,4.3409,271400,"NEAR OCEAN",3
"11471",-118,33.68,12,5241,985,2048,943,6.4858,285400,"<1H OCEAN",5
"11484",-118,33.73,26,2236,280,809,282,6.7395,342800,"<1H OCEAN",5
"11488",-117.99,33.72,14,2127,537,1338,475,3.628,188500,"<1H OCEAN",3
"11489",-118.01,33.71,18,6565,1357,3079,1248,4.7515,295600,"<1H OCEAN",4
"11497",-118.03,33.71,26,1483,251,738,235,6,271400,"<1H OCEAN",4
"11498",-118.07,33.67,13,5126,711,2429,718,9.5268,437900,"NEAR OCEAN",5
"11510",-118.1,33.74,33,2119,524,872,465,4.537,495500,"NEAR OCEAN",4
"11518",-118.05,33.71,25,4150,570,1424,547,8.8281,461600,"NEAR OCEAN",5
"11520",-118.07,33.73,13,1822,313,643,303,9.8346,401700,"NEAR OCEAN",5
"11523",-118.08,33.72,14,2021,396,696,367,7.1673,340700,"NEAR OCEAN",5
"11539",-118.01,33.75,30,3380,722,2269,652,4.525,186000,"<1H OCEAN",4
"11544",-118.03,33.76,25,4650,849,2503,790,5.742,221900,"<1H OCEAN",4
"11546",-118.04,33.75,16,3757,650,1291,614,5.2001,235600,"<1H OCEAN",4
"11547",-118.04,33.74,26,2532,421,1274,441,5.3559,235800,"<1H OCEAN",4
"11554",-117.98,33.74,29,3443,635,2257,620,4.7404,207500,"<1H OCEAN",4
"11556",-117.98,33.74,16,4636,908,2341,825,4.4261,304700,"<1H OCEAN",3
"11561",-117.99,33.76,30,1572,362,1351,359,3.369,190900,"<1H OCEAN",3
"11567",-118.02,33.77,34,2115,352,1253,338,5.1507,207500,"<1H OCEAN",4
"11569",-118.02,33.76,25,1759,404,1404,385,3.6289,195800,"<1H OCEAN",3
"11573",-118.01,33.76,26,2141,597,2038,585,2.2981,177700,"<1H OCEAN",2
"11576",-118,33.77,28,2401,503,1155,456,3.5139,211700,"<1H OCEAN",3
"11591",-118.01,33.78,26,2343,377,1166,373,6,233100,"<1H OCEAN",4
"11594",-118.04,33.78,25,3715,575,1640,572,5.7705,247100,"<1H OCEAN",4
"11597",-118.08,33.79,34,2840,395,1127,396,7.6144,376200,"<1H OCEAN",5
"11628",-118.07,33.81,22,2711,352,1305,368,8.5407,398800,"<1H OCEAN",5
"11632",-118.03,33.82,17,2178,477,1077,457,3.6815,245300,"<1H OCEAN",3
"11634",-118.02,33.82,19,2485,437,1286,431,4.7466,258300,"<1H OCEAN",4
"11636",-118.03,33.83,34,3203,653,2072,691,4.225,198400,"<1H OCEAN",3
"11637",-118.03,33.83,25,3030,532,1668,509,4.625,229600,"<1H OCEAN",4
"11643",-118.06,33.83,17,1973,516,1112,501,3.8512,163800,"<1H OCEAN",3
"11650",-118.04,33.85,24,2233,347,1162,355,5.6094,279200,"<1H OCEAN",4
"11660",-118.01,33.82,10,3897,893,1992,693,4.1591,192300,"<1H OCEAN",3
"11662",-118.02,33.81,34,3482,614,2227,641,5.1155,200900,"<1H OCEAN",4
"11664",-118.02,33.85,31,1922,329,1030,353,5.3416,213000,"<1H OCEAN",4
"11669",-118,33.85,34,1078,205,575,206,4.5083,188000,"<1H OCEAN",4
"11679",-117.99,33.85,35,1661,272,949,276,5.2548,192600,"<1H OCEAN",4
"11688",-117.99,33.88,42,1461,302,986,314,3.9559,161100,"<1H OCEAN",3
"11691",-118,33.87,13,2086,544,1356,462,2.95,165600,"<1H OCEAN",2
"11707",-120.06,39.09,30,2979,583,316,124,2.1987,124000,"INLAND",2
"11708",-120.06,39.15,22,2213,372,98,42,1.1912,170000,"INLAND",1
"11709",-120.2,39.12,15,2146,361,197,76,4.1316,2e+05,"INLAND",3
"11718",-120.1,39.19,17,1480,241,202,80,3.9375,213200,"INLAND",3
"11719",-120.1,39.2,20,1703,294,409,174,3.087,196900,"INLAND",3
"11736",-121.08,38.9,27,3436,755,1568,709,2.4273,138400,"INLAND",2
"11737",-121.06,38.88,17,7635,1284,3096,1227,4.2917,184300,"INLAND",3
"11743",-121.15,38.91,23,1654,299,787,299,4.2723,193100,"INLAND",3
"11750",-121.15,38.8,20,2104,370,745,314,4.1685,217500,"INLAND",3
"11756",-121.2,38.73,11,4897,636,1931,616,7.7499,334800,"INLAND",5
"11758",-121.18,38.75,16,2807,459,1201,429,4.7941,247600,"INLAND",4
"11773",-121.3,38.75,36,3903,885,2313,804,2.655,86300,"INLAND",2
"11779",-121.29,38.76,12,1198,174,443,170,6.0097,187500,"INLAND",5
"11781",-121.28,38.8,7,9003,1739,4445,1591,3.816,147900,"INLAND",3
"11790",-121.23,38.79,45,907,176,463,190,2.2292,92000,"INLAND",2
"11795",-121.18,38.83,15,4488,859,2114,805,2.9484,124400,"INLAND",2
"11796",-121.39,38.85,19,3568,646,1714,590,4.0862,162700,"INLAND",3
"11799",-121.22,38.92,19,2531,461,1206,429,4.4958,192600,"INLAND",3
"11803",-121.29,38.89,10,653,120,407,146,3.3889,110800,"INLAND",3
"11810",-121.1,38.94,42,410,117,706,112,1.0179,125000,"INLAND",1
"11814",-121.19,38.95,16,2544,431,1199,412,4.5129,196300,"INLAND",4
"11821",-121.08,38.95,18,1931,380,1271,377,2.7463,156100,"INLAND",2
"11823",-121.07,38.94,14,1710,294,839,297,4.7143,150700,"INLAND",4
"11827",-121.04,39,21,4059,730,1874,693,4.8051,174300,"INLAND",4
"11834",-120.18,39.28,14,10098,1545,701,254,4.0819,141300,"INLAND",3
"11841",-120.93,39.9,20,1511,328,791,320,2.0221,70900,"INLAND",2
"11850",-121,39.75,8,1116,214,27,39,2.5893,83000,"INLAND",2
"11857",-120.15,39.8,19,785,151,366,140,3.0625,82500,"INLAND",3
"11861",-121.23,40.01,38,725,190,219,115,1.625,75000,"INLAND",2
"11870",-121.14,40.29,17,1944,394,384,172,1.6875,111500,"INLAND",2
"11872",-117.35,34,38,1214,254,723,236,2.5469,87800,"INLAND",2
"11892",-117.37,33.98,52,201,44,130,24,2.025,125000,"INLAND",2
"11895",-117.35,33.97,27,3960,886,2807,838,3.024,122500,"INLAND",3
"11901",-117.37,33.94,14,9286,1269,3565,1238,6.6635,219600,"INLAND",5
"11906",-117.4,33.96,51,1806,322,709,298,3.575,125500,"INLAND",3
"11920",-117.42,33.95,32,4251,848,2494,798,2.8173,110800,"INLAND",2
"11921",-117.42,33.96,33,2275,469,1691,459,2.7452,98100,"INLAND",2
"11924",-117.39,33.95,36,1380,269,598,262,3.1667,122900,"INLAND",3
"11926",-117.4,33.95,43,633,166,292,135,1.1601,121400,"INLAND",1
"11936",-117.4,33.94,37,987,187,551,191,3.5865,112000,"INLAND",3
"11943",-117.42,33.94,35,1764,325,1094,353,4.1528,113900,"INLAND",3
"11945",-117.43,33.93,36,2386,396,1176,374,4.5122,113300,"INLAND",4
"11949",-117.45,33.94,12,3539,869,1987,859,2.1023,103700,"INLAND",2
"11950",-117.44,33.94,32,2349,452,1479,425,3.9118,114100,"INLAND",3
"11954",-117.45,33.93,20,5998,1320,3185,1199,3.2731,113900,"INLAND",3
"11965",-117.43,34.02,33,3084,570,1753,449,3.05,97800,"INLAND",3
"11973",-117.43,34.01,34,2101,426,1150,377,3.0909,98300,"INLAND",3
"11976",-117.43,33.99,18,3307,547,1738,457,4.566,116900,"INLAND",4
"11980",-117.48,33.98,20,2451,475,1785,456,3.3966,115000,"INLAND",3
"11981",-117.49,33.98,17,2727,462,1691,448,4.8371,160600,"INLAND",4
"11983",-117.47,33.98,8,12106,1913,5810,1717,4.9886,158100,"INLAND",4
"11984",-117.48,34.01,23,2000,376,1361,388,4.369,121100,"INLAND",3
"11999",-117.56,33.94,29,266,42,136,40,1.625,164300,"INLAND",2
"12004",-117.57,33.9,7,3797,850,2369,720,3.5525,137600,"INLAND",3
"12006",-117.55,33.89,25,2999,439,1396,458,5.6973,164800,"INLAND",4
"12020",-117.51,33.95,12,9016,1486,4285,1457,4.9984,169100,"INLAND",4
"12026",-117.47,33.94,34,559,139,532,137,3.0687,88500,"INLAND",3
"12029",-117.49,33.94,28,2787,490,1684,467,4.0256,127100,"INLAND",3
"12032",-117.46,33.92,21,713,142,476,142,3.5208,121100,"INLAND",3
"12037",-117.47,33.92,18,3869,773,2500,726,3.6583,126100,"INLAND",3
"12043",-117.48,33.91,22,3611,666,1869,649,4.2207,141100,"INLAND",3
"12048",-117.53,33.88,22,2855,667,2453,624,3.1312,91000,"INLAND",3
"12061",-117.57,33.87,37,621,156,443,135,2.3333,122800,"INLAND",2
"12065",-117.58,33.87,34,1511,272,773,265,3.5313,142100,"INLAND",3
"12069",-117.54,33.82,6,202,29,75,28,4.125,216700,"INLAND",3
"12071",-117.6,33.85,9,6538,955,2928,892,5.3006,221400,"<1H OCEAN",4
"12072",-117.56,33.86,25,6964,1066,3240,1036,5.2898,177100,"INLAND",4
"12077",-117.6,33.87,15,7626,1570,3823,1415,3.4419,138100,"INLAND",3
"12080",-117.52,33.83,22,2397,400,1347,403,4.46,189800,"INLAND",3
"12082",-117.54,33.76,5,5846,1035,3258,1001,4.7965,160800,"<1H OCEAN",4
"12083",-117.52,33.82,14,3776,580,1877,559,5.1365,215000,"INLAND",4
"12093",-117.43,33.81,13,4770,718,1985,662,4.2273,295200,"INLAND",3
"12094",-117.4,33.76,8,1954,330,973,321,4.4875,249100,"INLAND",3
"12095",-117.4,33.85,9,7538,1125,3450,1077,5.4625,223600,"INLAND",4
"12099",-117.34,33.96,15,6437,1298,2805,1205,4.1883,184500,"INLAND",3
"12104",-117.33,33.98,52,1417,353,881,300,1.9531,162500,"INLAND",2
"12107",-117.34,33.98,10,17286,4952,9851,4616,1.7579,103400,"INLAND",2
"12108",-117.32,33.99,27,5464,850,2400,836,4.711,133500,"INLAND",4
"12117",-117.23,33.96,5,9179,1361,4573,1294,5.253,163300,"INLAND",4
"12120",-117.21,33.97,3,18356,2537,8437,2342,5.6409,197700,"INLAND",4
"12124",-117.27,33.93,2,337,55,115,49,3.1042,164800,"INLAND",3
"12129",-117.23,33.91,9,11654,2100,7596,2127,4.0473,127200,"INLAND",3
"12132",-117.22,33.93,14,5104,1026,3513,972,3.2148,117000,"INLAND",3
"12135",-117.16,33.92,12,3236,502,1610,502,4.7568,143500,"INLAND",4
"12145",-117.22,33.81,4,9911,1946,5145,1661,3.4237,113700,"INLAND",3
"12147",-117.2,33.72,8,5528,1073,1674,918,2.5335,110100,"<1H OCEAN",2
"12150",-117.2,33.7,23,6323,1196,1984,1124,2.3276,92400,"<1H OCEAN",2
"12151",-117.19,33.7,24,5783,1256,1990,1151,1.9014,83500,"<1H OCEAN",2
"12156",-117.22,33.66,12,1869,356,1007,323,3.125,117200,"<1H OCEAN",3
"12163",-117.11,33.75,17,4174,851,1845,780,2.2618,96100,"INLAND",2
"12164",-117.16,33.76,11,4934,929,2508,840,2.625,155400,"INLAND",2
"12168",-117.22,33.8,3,5284,920,2703,729,4.0717,126500,"INLAND",3
"12169",-117.09,33.71,13,1974,426,1276,408,1.972,90500,"INLAND",2
"12171",-117.11,33.74,18,4799,1035,1966,944,2.1182,71300,"INLAND",2
"12172",-117.15,33.7,2,6305,1265,2489,1152,3.1319,111500,"INLAND",3
"12173",-117.16,33.73,10,2381,454,1323,477,2.6322,140700,"INLAND",2
"12175",-117.23,33.78,23,3465,703,2672,607,1.9767,81500,"INLAND",2
"12181",-117.31,33.75,19,3173,678,2204,606,2.1484,129200,"<1H OCEAN",2
"12183",-117.29,33.72,19,2248,427,1207,368,2.817,110000,"<1H OCEAN",2
"12194",-117.35,33.64,23,6859,1535,3405,1351,2.5395,109200,"<1H OCEAN",2
"12195",-117.29,33.63,7,16010,2726,7139,2426,3.8056,162200,"<1H OCEAN",3
"12200",-117.19,33.64,12,1481,265,757,243,3.235,210700,"<1H OCEAN",3
"12207",-117.05,33.52,5,3471,530,1541,502,4.8083,347700,"<1H OCEAN",4
"12209",-117.1,33.56,6,1868,289,750,247,4.3833,307600,"<1H OCEAN",3
"12226",-116.9,33.65,15,652,149,248,97,2.1071,93800,"INLAND",2
"12230",-116.95,33.75,19,2238,573,1190,507,2.0714,85800,"INLAND",2
"12237",-116.95,33.74,18,1996,405,1270,400,2.7083,91200,"INLAND",2
"12238",-116.94,33.74,19,2901,445,1414,475,4.6406,118900,"INLAND",4
"12239",-116.94,33.73,17,5160,851,2344,781,3.7175,120000,"INLAND",3
"12242",-116.97,33.74,31,2712,628,1519,629,1.942,86200,"INLAND",2
"12251",-116.98,33.77,12,5829,1309,2711,1118,1.9707,107900,"INLAND",2
"12253",-117,33.74,8,5330,1529,2143,1107,2.1103,94400,"INLAND",2
"12254",-117.02,33.73,14,3700,750,1171,695,1.9476,112500,"INLAND",2
"12260",-116.95,33.79,20,2399,546,1726,542,1.8845,77700,"INLAND",2
"12271",-117.06,34,33,1575,326,879,282,2.5357,94400,"INLAND",2
"12276",-116.97,33.96,12,5876,1222,2992,1151,2.4322,112100,"INLAND",2
"12280",-116.96,33.94,22,1999,497,1304,479,1.4063,81900,"INLAND",1
"12281",-116.99,33.92,26,503,69,293,59,3.7083,147500,"INLAND",3
"12283",-116.79,33.99,16,319,68,212,67,1.4688,90000,"INLAND",1
"12288",-116.86,33.84,18,521,118,174,74,2.7788,91100,"INLAND",2
"12296",-116.89,33.93,29,4549,916,2494,912,2.0976,72600,"INLAND",2
"12305",-116.8,33.8,35,324,63,158,39,3.4167,1e+05,"INLAND",3
"12310",-116.89,33.48,14,1016,219,443,169,2.8071,137500,"INLAND",2
"12312",-116.72,33.56,13,3166,682,1250,475,2.355,122900,"INLAND",2
"12313",-116.48,33.61,8,1294,272,457,199,2.9167,115300,"INLAND",2
"12314",-116.57,33.64,10,489,82,183,74,6.2702,345500,"INLAND",5
"12315",-116.76,33.46,6,1251,268,544,216,3.0694,173400,"INLAND",3
"12320",-116.71,33.94,12,549,109,209,90,3.0208,66300,"INLAND",3
"12321",-116.51,33.89,21,1284,306,537,233,1.95,61000,"INLAND",2
"12328",-116.51,33.96,16,4913,1395,2518,1132,1.4665,61100,"INLAND",1
"12332",-116.48,33.96,11,1381,300,644,248,2.3382,89400,"INLAND",2
"12333",-116.47,33.94,18,2233,471,919,388,3.2578,85200,"INLAND",3
"12335",-116.5,33.98,5,4332,868,1420,567,4.0417,146400,"INLAND",3
"12337",-116.63,33.89,22,1540,364,610,268,1.5227,71000,"INLAND",2
"12339",-116.54,33.87,16,3648,1035,1687,581,1.9167,70400,"INLAND",2
"12340",-116.57,33.84,18,7962,1652,2009,921,3.3897,230200,"INLAND",3
"12343",-116.53,33.84,28,8399,1839,3470,1340,2.5885,159000,"INLAND",2
"12352",-116.52,33.81,12,12396,2552,2548,1265,3.4394,162200,"INLAND",3
"12360",-116.53,33.78,18,2547,463,411,214,2.5489,220500,"INLAND",2
"12374",-116.45,33.8,9,5534,1206,2283,1008,3.6161,99100,"INLAND",3
"12377",-116.33,33.75,5,19107,3923,2880,1376,4.036,158500,"INLAND",3
"12382",-116.47,33.78,27,1781,441,759,340,3.3162,113600,"INLAND",3
"12385",-116.39,33.72,19,7646,1618,2496,1075,3.5569,128000,"INLAND",3
"12387",-116.39,33.69,10,11659,2007,2186,1083,6.9833,238800,"INLAND",5
"12392",-116.41,33.74,25,2475,476,910,387,3.3639,168800,"INLAND",3
"12395",-116.37,33.69,7,8806,1542,858,448,7.8005,318100,"INLAND",5
"12409",-116.25,33.81,24,880,187,507,169,3.4583,67500,"INLAND",3
"12416",-116.21,33.72,28,2488,714,2891,676,2.3169,68900,"INLAND",2
"12418",-116.23,33.73,29,1133,221,918,239,2.8648,72100,"INLAND",2
"12420",-116.22,33.72,28,826,258,979,245,1.7172,58800,"INLAND",2
"12428",-116.21,33.66,19,1596,295,1201,282,3.8846,100900,"INLAND",3
"12429",-116.21,33.68,34,584,176,625,166,1.5809,1e+05,"INLAND",2
"12431",-116.26,33.65,3,7437,1222,574,302,10.2948,382400,"INLAND",5
"12433",-116.12,33.53,17,2421,820,2971,685,1.654,1e+05,"INLAND",2
"12440",-116.18,33.67,25,2888,654,2940,660,2.2141,66700,"INLAND",2
"12441",-116.18,33.69,17,89,19,79,21,2.375,155000,"INLAND",2
"12443",-116.08,33.86,16,381,89,182,75,2.425,76100,"INLAND",2
"12452",-114.57,33.64,14,1501,337,515,226,3.1917,73400,"INLAND",3
"12456",-114.61,33.62,16,1187,261,1115,242,2.1759,61500,"INLAND",2
"12461",-114.6,33.6,21,1988,483,1182,437,1.625,62000,"INLAND",2
"12462",-121.43,38.58,35,5298,954,1933,918,3.9167,155700,"INLAND",3
"12467",-121.44,38.57,52,3080,545,975,495,3.776,164500,"INLAND",3
"12472",-121.46,38.58,40,1394,397,689,353,1.7765,109800,"INLAND",2
"12483",-121.5,38.58,20,4018,1220,1570,1122,2.5821,125000,"INLAND",2
"12496",-121.48,38.58,52,2501,757,1081,708,1.5872,157500,"INLAND",2
"12504",-121.43,38.56,41,1105,227,443,210,3.1827,131700,"INLAND",3
"12508",-121.43,38.56,46,1316,244,452,245,3.0938,137800,"INLAND",3
"12515",-121.45,38.56,51,1250,235,452,232,2.625,121200,"INLAND",2
"12520",-121.46,38.55,52,2094,463,1364,407,1.2235,68500,"INLAND",1
"12521",-121.47,38.55,48,1091,403,926,336,1.1458,65400,"INLAND",1
"12525",-121.48,38.56,44,1151,263,518,258,2.0089,113600,"INLAND",2
"12531",-121.5,38.57,41,1124,344,807,316,1.4712,94600,"INLAND",1
"12533",-121.51,38.57,36,613,166,425,147,2.2031,93800,"INLAND",2
"12534",-121.5,38.57,45,858,254,510,200,1.0114,80000,"INLAND",1
"12545",-121.49,38.55,51,4280,632,1486,621,5.0359,224100,"INLAND",4
"12551",-121.48,38.55,52,1684,309,675,296,4.1467,175000,"INLAND",3
"12556",-121.47,38.54,47,2085,464,1346,402,1.2679,56700,"INLAND",1
"12590",-121.5,38.52,37,2008,466,1261,427,2.2574,59100,"INLAND",2
"12618",-121.55,38.5,9,4868,738,2036,750,5.7621,204600,"INLAND",4
"12624",-121.53,38.48,5,27870,5027,11935,4855,4.8811,212200,"INLAND",4
"12630",-121.49,38.49,26,1557,301,986,300,2.6613,77700,"INLAND",2
"12631",-121.5,38.49,29,3606,690,2317,696,2.7368,78200,"INLAND",2
"12634",-121.49,38.49,26,4629,832,2902,816,2.735,74600,"INLAND",2
"12635",-121.47,38.49,17,3595,790,2760,770,2.3233,78800,"INLAND",2
"12637",-121.49,38.47,26,6121,1185,4224,1105,2.3496,68000,"INLAND",2
"12642",-121.45,38.53,34,1717,354,848,306,2.4741,87000,"INLAND",2
"12645",-121.46,38.54,36,1825,411,1226,391,1.5292,55700,"INLAND",2
"12649",-121.47,38.5,17,1895,424,620,417,1.7188,137500,"INLAND",2
"12651",-121.47,38.52,42,2316,515,1597,522,1.8205,60400,"INLAND",2
"12652",-121.44,38.52,36,3446,950,2460,847,1.6521,69700,"INLAND",2
"12655",-121.45,38.52,37,1477,321,888,312,2.5592,70300,"INLAND",2
"12657",-121.46,38.51,32,2437,592,1596,557,1.68,84100,"INLAND",2
"12663",-121.42,38.5,24,7740,1539,4333,1397,3.025,87900,"INLAND",3
"12665",-121.45,38.49,34,3573,662,1540,620,3.5323,109800,"INLAND",3
"12667",-121.45,38.48,28,2780,510,1638,533,2.9571,103100,"INLAND",2
"12671",-121.46,38.48,8,3593,659,1710,530,3.5227,93100,"INLAND",3
"12673",-121.42,38.48,13,7880,1992,4749,1882,1.9657,116000,"INLAND",2
"12676",-121.39,38.51,19,1808,375,758,320,2.0062,92000,"INLAND",2
"12682",-121.39,38.55,18,1734,467,783,447,1.9044,154300,"INLAND",2
"12688",-121.5,38.59,43,88,21,119,19,1.725,67500,"INLAND",2
"12693",-121.4,38.57,25,2022,295,639,278,5.8416,297600,"INLAND",4
"12696",-121.42,38.6,23,3713,1078,2194,1018,1.7451,89600,"INLAND",2
"12700",-121.44,38.61,34,172,38,149,55,2.6442,55000,"INLAND",2
"12702",-121.41,38.6,16,5407,1467,2523,1265,2.0471,104200,"INLAND",2
"12709",-121.38,38.59,36,1239,237,764,222,3.0156,103000,"INLAND",3
"12712",-121.4,38.59,25,2228,534,1130,481,2.5363,124600,"INLAND",2
"12718",-121.37,38.6,36,1119,144,414,150,5.8336,283300,"INLAND",4
"12723",-121.38,38.58,38,2968,475,1176,454,5.0497,191700,"INLAND",4
"12724",-121.38,38.59,38,1839,287,685,276,4.5313,189400,"INLAND",4
"12731",-121.35,38.59,29,1285,193,460,206,5.3243,265700,"INLAND",4
"12733",-121.36,38.58,25,3196,406,978,419,8.4699,344000,"INLAND",5
"12734",-121.35,38.58,20,2992,378,1105,368,8.6572,320200,"INLAND",5
"12737",-121.34,38.59,22,3273,480,1151,463,8.05,380000,"INLAND",5
"12778",-121.42,38.64,42,1720,382,1069,362,1.8611,60500,"INLAND",2
"12783",-121.44,38.64,18,1756,442,837,320,1.125,70500,"INLAND",1
"12786",-121.44,38.63,38,1673,399,1116,382,1.3302,62200,"INLAND",1
"12792",-121.46,38.65,8,3746,767,2161,744,3.2039,103400,"INLAND",3
"12797",-121.45,38.63,28,1246,295,884,258,1.4397,51700,"INLAND",1
"12802",-121.46,38.62,35,3326,696,2511,649,1.9871,60900,"INLAND",2
"12804",-121.45,38.6,44,2324,413,823,375,4.6625,158900,"INLAND",4
"12827",-121.44,38.71,25,2336,406,1172,408,3.5129,101200,"INLAND",3
"12833",-121.42,38.68,32,2118,345,1019,338,3.725,112200,"INLAND",3
"12835",-121.44,38.69,24,3124,556,1512,555,3.1942,94900,"INLAND",3
"12838",-121.47,38.68,19,946,182,474,173,5.0155,97300,"INLAND",4
"12841",-121.43,38.66,35,1814,367,1076,372,2.7179,81100,"INLAND",2
"12845",-121.37,38.68,34,1086,187,663,190,3.3074,84200,"INLAND",3
"12847",-121.37,38.68,36,1775,296,937,305,3.1786,83400,"INLAND",3
"12853",-121.37,38.68,35,1620,276,939,277,2.5542,72900,"INLAND",2
"12861",-121.37,38.7,18,3938,649,1861,606,3.6484,95000,"INLAND",3
"12868",-121.35,38.68,18,7923,1558,3789,1473,3.5403,98600,"INLAND",3
"12881",-121.39,38.64,33,1503,282,652,229,3.6937,99300,"INLAND",3
"12886",-121.35,38.66,8,3322,805,1694,774,2.7011,130700,"INLAND",2
"12888",-121.34,38.66,18,4164,963,2032,898,2.119,133100,"INLAND",2
"12905",-121.34,38.61,11,1716,404,722,415,2.0926,166100,"INLAND",2
"12910",-121.3,38.63,31,1817,372,992,339,3.0972,150000,"INLAND",3
"12928",-121.3,38.65,26,3192,447,1132,418,4.5278,144300,"INLAND",4
"12934",-121.23,38.66,19,3243,546,1334,515,4.8088,169500,"INLAND",4
"12938",-121.26,38.66,19,3170,444,1344,452,6.1183,221600,"INLAND",5
"12945",-121.26,38.64,40,1098,175,415,160,4.8375,217400,"INLAND",4
"12946",-121.27,38.65,33,1984,289,842,276,5.2949,173300,"INLAND",4
"12948",-121.28,38.64,24,3459,573,1336,544,4.8661,186200,"INLAND",4
"12950",-121.28,38.64,19,3574,669,1373,643,3.6298,242100,"INLAND",3
"12960",-121.3,38.71,17,5434,1106,2755,1047,2.8226,99900,"INLAND",2
"12964",-121.32,38.71,14,4594,774,2474,782,4.5245,127500,"INLAND",4
"12965",-121.31,38.71,18,3998,744,2071,660,4.3836,102000,"INLAND",3
"12971",-121.32,38.68,25,1252,207,587,217,3.5893,146400,"INLAND",3
"12973",-121.32,38.67,21,3455,706,1605,704,3.1382,91600,"INLAND",3
"12979",-121.29,38.68,12,5098,1094,2029,1065,3.5444,132500,"INLAND",3
"12980",-121.3,38.69,13,2135,429,779,432,3.6995,134900,"INLAND",3
"12981",-121.31,38.68,16,5179,1271,2181,1151,2.1009,82500,"INLAND",2
"12984",-121.3,38.68,19,2655,438,1253,454,5.2817,140600,"INLAND",4
"12997",-121.25,38.68,15,1497,243,730,242,4.9688,135600,"INLAND",4
"12999",-121.25,38.68,13,503,70,267,77,6.1943,276100,"INLAND",5
"13004",-121.27,38.67,15,2116,524,866,519,2.7388,111600,"INLAND",2
"13009",-121.29,38.68,20,1881,378,921,360,1.8589,144000,"INLAND",2
"13011",-121.25,38.72,15,6838,941,3166,926,5.2177,162700,"INLAND",4
"13012",-121.27,38.71,16,4082,666,1912,652,4.4609,142900,"INLAND",3
"13020",-121.22,38.68,10,6262,1278,2954,1169,3.4506,139000,"INLAND",3
"13024",-121.23,38.67,27,5266,971,2432,948,3.8954,133000,"INLAND",3
"13033",-121.19,38.66,26,1937,286,769,274,6.1185,179200,"INLAND",5
"13039",-121.16,38.67,21,6198,1223,2827,1179,3.7796,159000,"INLAND",3
"13042",-121.13,38.66,2,12360,1747,4438,1470,6.2503,222500,"INLAND",5
"13045",-121.13,38.47,16,2574,441,1041,428,3.6645,203400,"INLAND",3
"13050",-121.32,38.59,21,9774,1777,4674,1712,3.6817,136100,"INLAND",3
"13053",-121.3,38.61,25,2707,464,1423,490,4.3235,116900,"INLAND",3
"13069",-121.3,38.58,19,2653,680,1419,579,2.3787,91300,"INLAND",2
